model,year,mileage,description,price,price_status,source_url,scrape_date
بنز، EQE SUV,2025,صفر کیلومتر,500,توافقی,negotiable,https://bama.ir/car/detail-yusicpfo-mercedesbenz-eqesuv-500-2025,2025-11-10
بنز، EQE Sedan,2024,صفر کیلومتر,500,12500000000,fixed,https://bama.ir/car/detail-k0tyljiu-mercedesbenz-eqesedan-500-2024,2025-11-10
بنز، EQE Sedan,2025,صفر کیلومتر,500,توافقی,negotiable,https://bama.ir/car/detail-o2jvube5-mercedesbenz-eqesedan-500-2025,2025-11-10
بنز، کلاس C,2025,صفر کیلومتر,C200L,توافقی,negotiable,https://bama.ir/car/detail-qx7jd2ym-mercedesbenz-cclass-c200l-2025,2025-11-10
بنز، کلاس C,2025,صفر کیلومتر,C200L,19200000000,fixed,https://bama.ir/car/detail-natnzhqg-mercedesbenz-cclass-c200l-2025,2025-11-10
بنز، کلاس C,2025,صفر کیلومتر,C200L,13700000000,fixed,https://bama.ir/car/detail-kkb3stxx-mercedesbenz-cclass-c200l-2025,2025-11-10
بنز، کلاس C,2012,"137,000 km",C200,توافقی,negotiable,https://bama.ir/car/detail-8zkznkec-mercedesbenz-cclass-c200-2012,2025-11-10
بنز، کلاس C,2010,"180,000 km",C200,توافقی,negotiable,https://bama.ir/car/detail-jidhoarw-mercedesbenz-cclass-c200-2010,2025-11-10
بنز، کلاس C,2008,"255,000 km",C350,3550000000,fixed,https://bama.ir/car/detail-ods2ehrx-mercedesbenz-cclass-c350-2008,2025-11-10
بنز، کلاس C,2008,"248,000 km",C280,توافقی,negotiable,https://bama.ir/car/detail-ct8zmic9-mercedesbenz-cclass-c280-2008,2025-11-10
بنز، کلاس C,2025,صفر کیلومتر,C200L,توافقی,negotiable,https://bama.ir/car/detail-qqlflvoz-mercedesbenz-cclass-c200l-2025,2025-11-10
بنز، کلاس C,2025,صفر کیلومتر,C200L,14950000000,fixed,https://bama.ir/car/detail-jhzhlf32-mercedesbenz-cclass-c200l-2025,2025-11-10
بنز، کلاس C,2009,"57,000 km",C180,3900000000,fixed,https://bama.ir/car/detail-cwrkez2x-mercedesbenz-cclass-c180-2009,2025-11-10
بنز، کلاس C,2006,"270,000 km",C230,2250000000,fixed,https://bama.ir/car/detail-tc1ny270-mercedesbenz-cclass-c230-2006,2025-11-10
بنز، کلاس C,2012,"65,000 km",C200,توافقی,negotiable,https://bama.ir/car/detail-pg6ekiuc-mercedesbenz-cclass-c200-2012,2025-11-10
بنز، کلاس C,2025,صفر کیلومتر,C200L,12600000000,fixed,https://bama.ir/car/detail-0awe4sug-mercedesbenz-cclass-c200l-2025,2025-11-10
بنز، کلاس CLS,2009,"226,000 km",CLS500,4800000000,fixed,https://bama.ir/car/detail-i8gfwhad-mercedesbenz-clsclass-cls500-2009,2025-11-10
بنز، کلاس E,2016,"12,000 km",E250,توافقی,negotiable,https://bama.ir/car/detail-eilv1ocp-mercedesbenz-eclass-e250-2016,2025-11-10
بنز، کلاس E,2008,"260,000 km",E280,3300000000,fixed,https://bama.ir/car/detail-u03kpsm9-mercedesbenz-eclass-e280-2008,2025-11-10
